,,,,,,,,,,,,,0.954504477,0.938632955,0.91710027,0.886441207,0.841544933,0.771245597,0.665177593,0.509360582,0.992763678,0.987248911,0.978640729,0.967551224,0.309447847,0.141160106,0.094483381
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),,"mass, g","m-minf-mh2o, g",(m-minf-mash)/(mo-minf-mash),dm/dt,1/T(k),"k, s-1",,9.6891933,,,,,,6.567606691,,2.904267263,,,,,,
688.92403,86.03,-2.34075,10.12194,0.26142,,1.054706148,1.054706148,0.103587398,-0.004386452,0.001039421,0.004158933,,,,,,,,,,,,,,,,
693.95699,86.53,-2.35978,10.1069,0.25921,,1.05313898,1.05313898,0.103433479,-0.003794831,0.001034012,0.003603353,,,,,,,,,,,,,,,,
698.97304,87.03,-2.37807,10.09233,0.25697,,1.051620786,1.051620786,0.10328437,-0.003253298,0.001028676,0.003093603,,,,,,,,,,,,,,,,
704.00203,87.53,-2.40325,10.07927,0.25467,,1.050259934,1.050259934,0.103150715,-0.002797397,0.001023382,0.002663528,,,,,,,,,,,,,,,,
709.01204,88.03,-2.43303,10.06983,0.25235,,1.049276286,1.049276286,0.103054107,-0.00244515,0.001018162,0.002330321,,,,,,,,,,,,,,,,
714.03005,88.53,-2.4657,10.06092,0.24998,,1.048347864,1.048347864,0.102962922,-0.002173474,0.001012986,0.002073237,,,,,,,,,,,,,,,,
719.04305,89.03,-2.49014,10.0505,0.24757,,1.0472621,1.0472621,0.102856284,-0.0019997,0.001007868,0.001909455,,,,,,,,,,,,,,,,
724.053,89.53,-2.52178,10.04423,0.24513,,1.046608766,1.046608766,0.102792118,-0.00183556,0.001002805,0.001753816,,,,,,,,,,,,,,,,
729.07399,90.03,-2.55547,10.03923,0.24265,,1.046087766,1.046087766,0.102740948,-0.001701024,0.000997781,0.001626082,,,,,,,,,,,,,,,,
734.08199,90.53,-2.59165,10.02722,0.24014,,1.044836324,1.044836324,0.102618038,-0.001605155,0.00099282,0.001536274,,,,,,,,,,,,,,,,
739.07204,91.03,-2.62833,10.01833,0.23761,,1.043909986,1.043909986,0.102527058,-0.001523813,0.000987926,0.001459716,,,,,,,,,,,,,,,,
744.09005,91.53,-2.66018,10.01193,0.23504,,1.043243106,1.043243106,0.102461561,-0.001480958,0.000983052,0.001419571,,,,,,,,,,,,,,,,
749.097,92.03,-2.69557,10.00834,0.23244,,1.042869028,1.042869028,0.102424821,-0.001458703,0.000978237,0.00139874,,,,,,,,,,,,,,,,
754.10604,92.53,-2.73102,10.00691,0.22982,,1.042720022,1.042720022,0.102410187,-0.001430217,0.000973467,0.001371621,,,,,,,,,,,,,,,,
759.11605,93.03,-2.76398,9.99561,0.22717,,1.041542562,1.041542562,0.102294543,-0.001394252,0.000968743,0.001338642,,,,,,,,,,,,,,,,
764.118,93.53,-2.79097,9.99128,0.2245,,1.041091376,1.041091376,0.10225023,-0.001351576,0.000964071,0.00129823,,,,,,,,,,,,,,,,
769.13503,94.03,-2.81629,9.98388,0.2218,,1.040320296,1.040320296,0.102174499,-0.001300906,0.00095943,0.001250486,,,,,,,,,,,,,,,,
774.13802,94.53,-2.84021,9.97486,0.21908,,1.039380412,1.039380412,0.102082189,-0.001242692,0.000954847,0.001195609,,,,,,,,,,,,,,,,
779.144,95.03,-2.86445,9.96984,0.21635,,1.038857328,1.038857328,0.102030814,-0.001210426,0.000950305,0.001165151,,,,,,,,,,,,,,,,
784.14901,95.53,-2.88504,9.95968,0.2136,,1.037798656,1.037798656,0.101926837,-0.001198264,0.000945806,0.001154621,,,,,,,,,,,,,,,,
789.165,96.03,-2.91216,9.95275,0.21083,,1.03707655,1.03707655,0.101855916,-0.001184529,0.00094134,0.001142181,,,,,,,,,,,,,,,,
794.15804,96.53,-2.93715,9.94908,0.20805,,1.036694136,1.036694136,0.101818357,-0.001150685,0.000936937,0.001109956,,,,,,,,,,,,,,,,
799.16701,97.03,-2.96253,9.94584,0.20526,,1.036356528,1.036356528,0.101785199,-0.001089769,0.00093256,0.001051538,,,,,,,,,,,,,,,,
804.17,97.53,-2.99228,9.94482,0.20246,,1.036250244,1.036250244,0.101774761,-0.001044651,0.000928229,0.001008107,,,,,,,,,,,,,,,,
809.178,98.03,-3.02066,9.94062,0.19964,,1.035812604,1.035812604,0.101731778,-0.000981518,0.000923934,0.000947583,,,,,,,,,,,,,,,,
814.191,98.53,-3.05672,9.93514,0.19681,,1.035241588,1.035241588,0.101675696,-0.000919458,0.000919675,0.000888158,,,,,,,,,,,,,,,,
819.18905,99.03,-3.10061,9.92929,0.19399,,1.034632018,1.034632018,0.101615828,-0.000869151,0.000915467,0.000840058,,,,,,,,,,,,,,,,
